n,id,category,best,kw_rank
8,q032,enumeration,3.0163166522979736,3
8,q033,direct_fact,6.963826656341553,1
8,q034,enumeration,4.53547477722168,1
8,q035,reasoning,6.961411476135254,1
8,q036,direct_fact,4.930408954620361,1
8,q037,direct_fact,8.880436897277832,1
8,q038,reasoning,6.87338924407959,1
8,q039,reasoning,2.8114075660705566,1
8,q040,enumeration,4.143370151519775,1
8,q041,enumeration,6.084098815917969,2
8,q042,reasoning,7.61417293548584,1
8,q043,direct_fact,5.485403537750244,1
8,q044,multi_hop,4.0940961837768555,4
8,q045,multi_hop,2.122718095779419,
8,q046,multi_hop,2.3360743522644043,1
8,q047,multi_hop,1.6783485412597656,1
8,q048,out_of_corpus,-3.119509220123291,
8,q049,out_of_corpus,-11.09442138671875,
8,q050,out_of_corpus,-6.406406879425049,
8,q051,multi_hop,1.4045084714889526,1
8,q052,multi_hop,1.0918599367141724,3
8,q053,multi_hop,2.9003944396972656,1
8,q054,multi_hop,0.8065294027328491,6
8,q055,multi_hop,4.476962089538574,1
8,q056,multi_hop,4.002211570739746,1
8,q057,multi_hop,0.6127126216888428,2
8,q059,multi_hop,1.3223516941070557,1
8,q060,multi_hop,3.3678581714630127,1
8,q061,multi_hop,2.292759418487549,4
8,q062,multi_hop,2.2223620414733887,2
10,q001,direct_fact,3.62532639503479,1
10,q002,enumeration,9.270694732666016,1
10,q003,direct_fact,2.06204891204834,1
10,q004,reasoning,6.137463569641113,1
10,q005,direct_fact,4.806210517883301,1
10,q006,enumeration,4.633072853088379,3
10,q007,direct_fact,2.1410040855407715,1
10,q008,enumeration,5.437556266784668,2
10,q009,reasoning,5.060925483703613,1
10,q010,direct_fact,5.7035088539123535,1
10,q011,enumeration,5.4257025718688965,4
10,q012,direct_fact,4.608530521392822,1
10,q013,enumeration,6.7182111740112305,1
10,q014,reasoning,0.6780494451522827,1
10,q015,direct_fact,6.777395248413086,1
10,q016,reasoning,6.873054504394531,2
10,q017,direct_fact,5.9995622634887695,1
10,q018,reasoning,8.10957145690918,1
10,q019,out_of_corpus,-4.441519260406494,
10,q020,out_of_corpus,-5.4598565101623535,
10,q021,enumeration,5.633781433105469,1
10,q022,enumeration,7.095032691955566,1
10,q023,enumeration,6.304117202758789,1
10,q024,enumeration,5.446718215942383,1
10,q025,direct_fact,0.35489529371261597,1
10,q026,reasoning,7.6944732666015625,1
10,q027,enumeration,-2.078186273574829,3
10,q028,direct_fact,0.3810821771621704,8
10,q029,reasoning,4.133575916290283,5
10,q030,reasoning,4.913325309753418,1
10,q031,direct_fact,6.095284461975098,1
10,q032,enumeration,3.0163166522979736,3
10,q033,direct_fact,6.963826656341553,1
10,q034,enumeration,4.53547477722168,1
10,q035,reasoning,6.961411476135254,1
10,q036,direct_fact,4.930408954620361,1
10,q037,direct_fact,8.880436897277832,1
10,q038,reasoning,6.87338924407959,1
10,q039,reasoning,2.8114075660705566,1
10,q040,enumeration,4.143370151519775,1
10,q041,enumeration,6.084099769592285,2
10,q042,reasoning,7.61417293548584,1
10,q043,direct_fact,5.485403537750244,1
10,q044,multi_hop,4.094095706939697,4
10,q045,multi_hop,2.122718334197998,4
10,q046,multi_hop,2.3360743522644043,1
10,q047,multi_hop,1.6783485412597656,1
10,q048,out_of_corpus,-3.119509220123291,
10,q049,out_of_corpus,-9.403556823730469,
10,q050,out_of_corpus,-6.406407356262207,
10,q051,multi_hop,1.4045084714889526,1
10,q052,multi_hop,1.0918599367141724,3
10,q053,multi_hop,2.900394916534424,1
10,q054,multi_hop,0.8065294027328491,6
10,q055,multi_hop,4.476962566375732,1
10,q056,multi_hop,4.002211570739746,1
10,q057,multi_hop,0.6127126216888428,2
10,q059,multi_hop,1.322350263595581,1
10,q060,multi_hop,3.3678581714630127,1
10,q061,multi_hop,2.292759418487549,4
10,q062,multi_hop,2.222362756729126,2
12,q001,direct_fact,3.62532639503479,1
12,q002,enumeration,9.270694732666016,1
12,q003,direct_fact,2.06204891204834,1
12,q004,reasoning,6.137463569641113,1
12,q005,direct_fact,4.806209564208984,1
12,q006,enumeration,4.633074760437012,3
12,q007,direct_fact,2.1410040855407715,1
12,q008,enumeration,5.437556266784668,2
12,q009,reasoning,5.060925483703613,1
12,q010,direct_fact,5.703508377075195,1
12,q011,enumeration,5.425702095031738,4
12,q012,direct_fact,4.608530521392822,1
12,q013,enumeration,6.7182111740112305,1
12,q014,reasoning,0.6780499219894409,1
12,q015,direct_fact,6.777392387390137,1
12,q016,reasoning,6.873054504394531,2
12,q017,direct_fact,5.9995622634887695,1
12,q018,reasoning,8.10957145690918,1
12,q019,out_of_corpus,-4.441519260406494,
12,q020,out_of_corpus,-5.459856033325195,
12,q021,enumeration,5.633781909942627,1
12,q022,enumeration,7.095032691955566,1
12,q023,enumeration,6.304117202758789,1
12,q024,enumeration,5.446718215942383,1
12,q025,direct_fact,0.35489529371261597,1
12,q026,reasoning,7.694472789764404,1
12,q027,enumeration,-2.078186273574829,3
12,q028,direct_fact,0.3810821771621704,9
12,q029,reasoning,4.133574962615967,5
12,q030,reasoning,4.913325309753418,1
12,q031,direct_fact,6.095284461975098,1
12,q032,enumeration,3.0163166522979736,3
12,q033,direct_fact,6.963826656341553,1
12,q034,enumeration,4.53547477722168,1
12,q035,reasoning,6.9614105224609375,1
12,q036,direct_fact,4.9304094314575195,1
12,q037,direct_fact,8.880436897277832,1
12,q038,reasoning,6.87338924407959,1
12,q039,reasoning,2.8114075660705566,1
12,q040,enumeration,4.143369197845459,1
12,q041,enumeration,6.084099769592285,2
12,q042,reasoning,7.61417293548584,1
12,q043,direct_fact,5.485403537750244,1
12,q044,multi_hop,4.094095706939697,4
12,q045,multi_hop,2.122718095779419,4
12,q046,multi_hop,2.3360743522644043,1
12,q047,multi_hop,1.6783485412597656,1
12,q048,out_of_corpus,-3.119509696960449,
12,q049,out_of_corpus,-9.403556823730469,
12,q050,out_of_corpus,-6.406407356262207,
12,q051,multi_hop,1.4045084714889526,1
12,q052,multi_hop,1.0918599367141724,3
12,q053,multi_hop,2.900394916534424,1
12,q054,multi_hop,0.8065298795700073,6
12,q055,multi_hop,4.476962089538574,1
12,q056,multi_hop,4.002211570739746,1
12,q057,multi_hop,0.6127129793167114,2
12,q059,multi_hop,1.322350263595581,1
12,q060,multi_hop,3.3678581714630127,1
12,q061,multi_hop,2.292759418487549,4
12,q062,multi_hop,2.2223618030548096,2
15,q001,direct_fact,3.62532639503479,1
15,q002,enumeration,9.270694732666016,1
15,q003,direct_fact,2.06204891204834,1
15,q004,reasoning,6.137463569641113,1
15,q005,direct_fact,4.806209564208984,1
15,q006,enumeration,4.633072853088379,3
15,q007,direct_fact,2.1410040855407715,1
15,q008,enumeration,5.437555313110352,2
15,q009,reasoning,5.06092643737793,1
15,q010,direct_fact,5.703508377075195,1
15,q011,enumeration,5.42570161819458,2
15,q012,direct_fact,4.608530521392822,1
15,q013,enumeration,6.718211650848389,1
15,q014,reasoning,0.6780500411987305,1
15,q015,direct_fact,6.777395248413086,1
15,q016,reasoning,6.873054504394531,2
15,q017,direct_fact,5.9995622634887695,1
15,q018,reasoning,8.10957145690918,1
15,q019,out_of_corpus,-4.441519260406494,
15,q020,out_of_corpus,-5.4598565101623535,
15,q021,enumeration,5.633781909942627,1
15,q022,enumeration,7.095034122467041,1
15,q023,enumeration,6.304117202758789,1
15,q024,enumeration,5.446718215942383,1
15,q025,direct_fact,0.35489529371261597,1
15,q026,reasoning,7.694472789764404,1
15,q027,enumeration,-2.078186273574829,3
15,q028,direct_fact,0.3810821771621704,10
15,q029,reasoning,4.133574485778809,5
15,q030,reasoning,4.913325309753418,1
15,q031,direct_fact,6.095283508300781,1
15,q032,enumeration,3.016317129135132,3
15,q033,direct_fact,6.963826656341553,1
15,q034,enumeration,4.53547477722168,1
15,q035,reasoning,6.9614105224609375,1
15,q036,direct_fact,4.930408954620361,1
15,q037,direct_fact,8.880435943603516,1
15,q038,reasoning,6.87338924407959,1
15,q039,reasoning,2.811406373977661,1
15,q040,enumeration,4.143370151519775,1
15,q041,enumeration,6.084099769592285,2
15,q042,reasoning,7.61417293548584,1
15,q043,direct_fact,5.485403537750244,1
15,q044,multi_hop,4.094095706939697,3
15,q045,multi_hop,2.1227176189422607,4
15,q046,multi_hop,2.3360743522644043,1
15,q047,multi_hop,1.6783485412597656,1
15,q048,out_of_corpus,-3.119509220123291,
15,q049,out_of_corpus,-9.403556823730469,
15,q050,out_of_corpus,-5.053423881530762,
15,q051,multi_hop,1.4045084714889526,1
15,q052,multi_hop,1.0918599367141724,3
15,q053,multi_hop,2.9003944396972656,1
15,q054,multi_hop,0.8065298795700073,6
15,q055,multi_hop,4.476962089538574,1
15,q056,multi_hop,4.002211570739746,1
15,q057,multi_hop,0.6127129793167114,2
15,q059,multi_hop,1.322350263595581,1
15,q060,multi_hop,3.3678579330444336,1
15,q061,multi_hop,2.292759418487549,5
15,q062,multi_hop,2.2223618030548096,2
20,q001,direct_fact,3.625326156616211,1
20,q002,enumeration,9.270694732666016,1
20,q003,direct_fact,2.06204891204834,1
20,q004,reasoning,6.137462615966797,1
20,q005,direct_fact,4.806209564208984,1
20,q006,enumeration,4.633072853088379,3
20,q007,direct_fact,2.1410045623779297,1
20,q008,enumeration,5.437556266784668,2
20,q009,reasoning,5.060925483703613,1
20,q010,direct_fact,5.703508377075195,1
20,q011,enumeration,5.587739944458008,1
20,q012,direct_fact,4.608530521392822,1
20,q013,enumeration,6.718211650848389,1
20,q014,reasoning,0.6780499219894409,1
20,q015,direct_fact,6.7773942947387695,1
20,q016,reasoning,6.873054504394531,2
20,q017,direct_fact,5.9995622634887695,1
20,q018,reasoning,8.10957145690918,1
20,q019,out_of_corpus,-4.441519260406494,
20,q020,out_of_corpus,-5.459856033325195,
20,q021,enumeration,5.633782386779785,1
20,q022,enumeration,7.095033645629883,1
20,q023,enumeration,6.304117202758789,1
20,q024,enumeration,5.446718215942383,1
20,q025,direct_fact,0.35489529371261597,1
20,q026,reasoning,7.6944732666015625,1
20,q027,enumeration,-2.078186273574829,3
20,q028,direct_fact,0.3810821771621704,11
20,q029,reasoning,4.133574962615967,5
20,q030,reasoning,4.913325309753418,1
20,q031,direct_fact,6.095283508300781,1
20,q032,enumeration,3.016317129135132,3
20,q033,direct_fact,6.963826656341553,1
20,q034,enumeration,4.53547477722168,1
20,q035,reasoning,6.961410045623779,1
20,q036,direct_fact,4.930408954620361,1
20,q037,direct_fact,8.880435943603516,1
20,q038,reasoning,6.87338924407959,1
20,q039,reasoning,2.8114073276519775,1
20,q040,enumeration,4.143369197845459,1
20,q041,enumeration,6.084098815917969,2
20,q042,reasoning,7.61417293548584,1
20,q043,direct_fact,5.485403537750244,1
20,q044,multi_hop,4.094095706939697,3
20,q045,multi_hop,2.1227169036865234,4
20,q046,multi_hop,2.3360743522644043,1
20,q047,multi_hop,1.6783485412597656,1
20,q048,out_of_corpus,-3.119509220123291,
20,q049,out_of_corpus,-9.403556823730469,
20,q050,out_of_corpus,-5.053423881530762,
20,q051,multi_hop,1.4045084714889526,1
20,q052,multi_hop,1.0918599367141724,3
20,q053,multi_hop,2.9003944396972656,1
20,q054,multi_hop,0.8065298795700073,6
20,q055,multi_hop,4.476961612701416,1
20,q056,multi_hop,4.002211570739746,1
20,q057,multi_hop,2.512263774871826,3
20,q059,multi_hop,1.322350263595581,1
20,q060,multi_hop,3.367859363555908,1
20,q061,multi_hop,2.292759418487549,5
20,q062,multi_hop,2.222362756729126,2
