model,group,id,category,best,kw_rank
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h015,multi_hop,-4.991783618927002,9
cross-encoder/ms-marco-MiniLM-L-12-v2,hard,h016,multi_hop,-9.368318557739258,8
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q001,direct_fact,3.62532639503479,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q002,enumeration,9.270694732666016,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q003,direct_fact,2.06204891204834,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q004,reasoning,6.137463569641113,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q005,direct_fact,4.806209564208984,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q006,enumeration,4.633072853088379,3
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q007,direct_fact,2.1410040855407715,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q008,enumeration,5.437555313110352,2
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q009,reasoning,5.06092643737793,1
cross-encoder/ms-marco-MiniLM-L-12-v2,normal,q010,direct_fact,5.703508377075195,1
cross-encoder/ms-marco-MiniLM-L-12-v2,ooc,q019,out_of_corpus,-4.441519260406494,
cross-encoder/ms-marco-MiniLM-L-12-v2,ooc,q020,out_of_corpus,-5.4598565101623535,
cross-encoder/ms-marco-MiniLM-L-12-v2,ooc,q048,out_of_corpus,-3.119509220123291,
cross-encoder/ms-marco-MiniLM-L-12-v2,ooc,q049,out_of_corpus,-9.403556823730469,
cross-encoder/ms-marco-MiniLM-L-12-v2,ooc,q050,out_of_corpus,-5.053423881530762,
