id,set,category,a_pages,b_slots,b_unique_pages,lost_pages,a_cov,b_cov,a_chars,b_chars
h004,golden_hard_paraphrase.jsonl,direct_fact,8,8,4,4,100.0,100.0,45234,47420
h005,golden_hard_paraphrase.jsonl,direct_fact,8,8,4,4,50.0,50.0,38524,31158
h006,golden_hard_paraphrase.jsonl,enumeration,8,8,4,4,33.333333333333336,33.333333333333336,44632,47148
h007,golden_hard_paraphrase.jsonl,reasoning,8,8,4,4,100.0,66.66666666666667,47740,47870
h008,golden_hard_paraphrase.jsonl,direct_fact,8,8,4,4,0.0,0.0,48296,50300
h009,golden_hard_paraphrase.jsonl,direct_fact,8,8,4,4,0.0,0.0,48390,52080
h010,golden_hard_paraphrase.jsonl,direct_fact,8,8,4,4,100.0,100.0,31756,29300
h011,golden_hard_paraphrase.jsonl,multi_hop,8,8,4,4,66.66666666666667,33.333333333333336,45599,52454
h012,golden_hard_paraphrase.jsonl,multi_hop,8,8,4,4,0.0,0.0,39497,35350
h013,golden_hard_paraphrase.jsonl,multi_hop,8,8,4,4,33.333333333333336,33.333333333333336,49540,45534
h014,golden_hard_paraphrase.jsonl,multi_hop,8,8,4,4,66.66666666666667,66.66666666666667,43233,40030
h015,golden_hard_paraphrase.jsonl,multi_hop,8,8,4,4,0.0,0.0,51793,44804
h016,golden_hard_paraphrase.jsonl,multi_hop,8,8,4,4,66.66666666666667,33.333333333333336,47742,45668
