id,set,ooc,version,text,best,passes,coverage,keywords_found,pages
c010,golden_conversations.jsonl,True,2,"What is the price of Bitcoin in ""Serverless Computing: Current Trends and Open Problems Ioana Baldini, Paul Castro, Kerry Chang, Perry Cheng, Stephen Fink, Vatche""?",3.9459,True,0.0,,1706.03178.pdf:1;1706.03178.pdf:19;1706.03178.pdf:15;1706.03178.pdf:17;1902.03383v1.pdf:26;1812.03651.pdf:1;1706.03178.pdf:18;1902.03383v1.pdf:1
c010,golden_conversations.jsonl,True,3,"What is the price of Bitcoin in ""Serverless Computing: One Step Forward, Two Steps Back Joseph M. Hellerstein, Jose Faleiro, Joseph E. Gonzalez, Johann Schleier-Sm""?",3.539,True,0.0,,1812.03651.pdf:1;1812.03651.pdf:3;1812.03651.pdf:5;1812.03651.pdf:7;1902.03383v1.pdf:26;1812.03651.pdf:2;1902.03383v1.pdf:5;1902.03383v1.pdf:20
c011,golden_conversations.jsonl,True,1,What about quantum computing performance in MapReduce?,3.8008,True,0.0,,mapreduce-osdi04.pdf:8;mapreduce-osdi04.pdf:1;mapreduce-osdi04.pdf:11;1902.03383v1.pdf:29;mapreduce-osdi04.pdf:12;mapreduce-osdi04.pdf:10;1902.03383v1.pdf:10;1812.03651.pdf:1
c011,golden_conversations.jsonl,True,2,What about quantum computing performance in Serverless Computing?,2.9714,True,0.0,,1902.03383v1.pdf:1;1902.03383v1.pdf:15;1902.03383v1.pdf:22;1902.03383v1.pdf:7;1902.03383v1.pdf:9;1902.03383v1.pdf:8;1902.03383v1.pdf:32;1812.03651.pdf:1
c011,golden_conversations.jsonl,True,3,What about quantum computing performance in Occupy the Cloud?,0.5631,True,0.0,,1702.04024.pdf:1;EECS-2009-28.pdf:20;1902.03383v1.pdf:3;1902.03383v1.pdf:22;EECS-2009-28.pdf:3;1902.03383v1.pdf:19;EECS-2009-28.pdf:5;EECS-2009-28.pdf:4
q019,golden_set_50.jsonl,True,1,What do the documents say about MapReduce performance?,4.8454,True,0.0,,mapreduce-osdi04.pdf:8;mapreduce-osdi04.pdf:11;mapreduce-osdi04.pdf:1;mapreduce-osdi04.pdf:2;mapreduce-osdi04.pdf:7;mapreduce-osdi04.pdf:4;mapreduce-osdi04.pdf:10;mapreduce-osdi04.pdf:12
q019,golden_set_50.jsonl,True,2,What do the documents say about Serverless Computing performance?,3.3213,True,0.0,,1902.03383v1.pdf:15;1902.03383v1.pdf:1;1902.03383v1.pdf:20;1902.03383v1.pdf:22;1706.03178.pdf:1;1812.03651.pdf:1;1902.03383v1.pdf:9;1902.03383v1.pdf:3
q019,golden_set_50.jsonl,True,3,What do the documents say about Cloud Computing performance?,2.7503,True,0.0,,EECS-2009-28.pdf:5;1902.03383v1.pdf:22;EECS-2009-28.pdf:12;EECS-2009-28.pdf:3;1902.03383v1.pdf:3;EECS-2009-28.pdf:9;1902.03383v1.pdf:20;EECS-2009-28.pdf:6
q020,golden_set_50.jsonl,True,1,What is the price of Bitcoin according to the papers?,-8.194,False,0.0,,excamera-nsdi17.pdf:11;EECS-2009-28.pdf:23;EECS-2009-28.pdf:18;EECS-2009-28.pdf:21;1702.04024.pdf:6;EECS-2009-28.pdf:7;EECS-2009-28.pdf:12;1706.03178.pdf:10
q048,golden_set_50.jsonl,True,1,"What do the documents say about GDPR compliance requirements for cloud providers mentioned in ""Above the Clouds: A Berkeley View of Cloud Computing""?",2.038,True,0.0,,EECS-2009-28.pdf:3;EECS-2009-28.pdf:1;1902.03383v1.pdf:22;1902.03383v1.pdf:3;1902.03383v1.pdf:23;1902.03383v1.pdf:1;1902.03383v1.pdf:4;EECS-2009-28.pdf:17
q048,golden_set_50.jsonl,True,2,"What do the documents say about GDPR compliance requirements for cloud providers mentioned in ""Occupy the Cloud: Distributed Computing for the 99% Eric Jonas, Qifan Pu, Shivaram Venkataraman, Ion Stoica, Benjamin Recht Univer""?",-2.1216,True,0.0,,1702.04024.pdf:1;EECS-2009-28.pdf:17;EECS-2009-28.pdf:3;1902.03383v1.pdf:24;EECS-2009-28.pdf:5;1812.03651.pdf:8;EECS-2009-28.pdf:24;excamera-nsdi17.pdf:14
q048,golden_set_50.jsonl,True,3,"What do the documents say about GDPR compliance requirements for cloud providers mentioned in ""Cloud Programming Simplified: A Berkeley View on Serverless Computing Eric Jonas Johann Schl""?",2.4893,True,0.0,,1902.03383v1.pdf:1;1902.03383v1.pdf:4;1902.03383v1.pdf:22;1902.03383v1.pdf:3;1902.03383v1.pdf:15;1812.03651.pdf:1;1902.03383v1.pdf:8;EECS-2009-28.pdf:3
q049,golden_set_50.jsonl,True,1,What clinical trial results are mentioned in excamera-nsdi17.pdf?,-3.6557,False,0.0,,excamera-nsdi17.pdf:13;excamera-nsdi17.pdf:3;excamera-nsdi17.pdf:10;excamera-nsdi17.pdf:11;excamera-nsdi17.pdf:9;excamera-nsdi17.pdf:1;1902.03383v1.pdf:10;excamera-nsdi17.pdf:7
q050,golden_set_50.jsonl,True,1,What benchmark results for GPU tensor cores are reported in excamera-nsdi17.pdf?,-0.2376,True,0.0,,excamera-nsdi17.pdf:3;excamera-nsdi17.pdf:11;excamera-nsdi17.pdf:10;excamera-nsdi17.pdf:9;excamera-nsdi17.pdf:6;excamera-nsdi17.pdf:13;excamera-nsdi17.pdf:12;1702.04024.pdf:5
