id,coverage,form,query,best,mean,worst,passes_gate,passes_corrective
h012,0.0,how-why,How and why does Concrete implementation versus abstract description happen?,-7.237,-9.509,-11.289,False,False
h012,0.0,explain,Explain Concrete implementation versus abstract description,-5.98,-9.294,-11.303,False,False
h012,0.0,ΕΡΩΤΗΣΗ-LLM,How does concrete implementation differ from abstract description?,-6.166,-9.415,-11.258,False,False
h012,0.0,ΕΡΩΤΗΣΗ-LLM+ανάκτηση,How does concrete implementation differ from abstract description?,-5.921,-8.852,-11.165,False,False
h015,33.333333333333336,ωμό,Data locality optimization distributed systems cloud computing serverless architectures performance implications storage proximity compute nodes,-0.181,-2.252,-5.763,True,False
h015,33.333333333333336,what-is,What is Data locality optimization distributed systems cloud computing serverless architectures performance implications storage proximity compute nodes?,-0.598,-2.729,-6.268,True,False
h015,33.333333333333336,what-about,What does the text say about Data locality optimization distributed systems cloud computing serverless architectures performance implications storage proximity compute nodes?,-0.934,-2.787,-5.121,True,False
h015,33.333333333333336,how-why,How and why does Data locality optimization distributed systems cloud computing serverless architectures performance implications storage proximity compute nodes happen?,-0.209,-2.331,-5.78,True,False
h015,33.333333333333336,explain,Explain Data locality optimization distributed systems cloud computing serverless architectures performance implications storage proximity compute nodes,0.398,-1.794,-4.831,True,False
h015,33.333333333333336,ΕΡΩΤΗΣΗ-LLM,"How do data locality optimization, distributed systems, cloud computing, serverless architectures, performance implications, storage proximity, and compute nodes relate?",0.24,-2.382,-3.761,True,False
h015,33.333333333333336,ΕΡΩΤΗΣΗ-LLM+ανάκτηση,"How do data locality optimization, distributed systems, cloud computing, serverless architectures, performance implications, storage proximity, and compute nodes relate?",-0.046,-2.739,-4.456,True,False
h016,0.0,ωμό,Cloud computing historical failures cautionary tales distributed systems legacy system vulnerabilities,-1.148,-5.848,-10.067,True,False
h016,0.0,what-is,What is Cloud computing historical failures cautionary tales distributed systems legacy system vulnerabilities?,-2.263,-6.528,-10.292,True,False
h016,0.0,what-about,What does the text say about Cloud computing historical failures cautionary tales distributed systems legacy system vulnerabilities?,-2.844,-6.439,-9.31,False,False
h016,0.0,how-why,How and why does Cloud computing historical failures cautionary tales distributed systems legacy system vulnerabilities happen?,-0.845,-6.161,-10.071,True,False
h016,0.0,explain,Explain Cloud computing historical failures cautionary tales distributed systems legacy system vulnerabilities,-0.749,-5.566,-10.327,True,False
h016,0.0,ΕΡΩΤΗΣΗ-LLM,"What are the historical cloud computing failures, cautionary tales, distributed systems, and legacy system vulnerabilities?",-2.78,-6.49,-9.596,False,False
h016,0.0,ΕΡΩΤΗΣΗ-LLM+ανάκτηση,"What are the historical cloud computing failures, cautionary tales, distributed systems, and legacy system vulnerabilities?",-2.78,-6.338,-8.822,False,False
