id,category,question,enriched,best_before,best_after,cov_before,cov_after,verdict
h011,multi_hop,How much faster was it?,How much faster was it latency throughput performance benchmark?,-2.352,0.893,66.7,33.3,ίδιο
h012,multi_hop,Τι προσθέτει η συγκεκριμένη υλοποίηση σε σχέση με τη γενική περιγραφή που δίνει το άλλο paper;,Τι προσθέτει η συγκεκριμένη υλοποίηση σε σχέση με τη γενική περιγραφή που δίνει το άλλο paper cloud-native microservices Kubernetes serverless functions FaaS,-1.477,-0.215,0.0,0.0,ίδιο
h013,multi_hop,The two papers disagree about whether remote storage is fast enough to work with. What measurement settles the argument?,The two papers disagree about whether remote storage is fast enough to work with. What measurement settles the argument? latency throughput IOPS NVMe-oF,-1.977,-2.072,33.3,33.3,ίδιο
h014,multi_hop,What do they do about the few workers that finish much later than the rest?,"What do they do about the few workers that finish much later than the rest"" AND (stragglers OR tail latency OR speculative execution OR fault tolerance)",-1.984,0.57,66.7,66.7,ίδιο
h015,multi_hop,Is it still worth keeping the data right next to the machines doing the work?,"Is it still worth keeping the data right next to the machines doing the work"" locality, data gravity, latency, colocation",-4.992,-5.474,0.0,0.0,ίδιο
h016,multi_hop,Why do they bring up that older system as a warning?,"older system"" warning ""anti-pattern"" ""legacy system"" ""technical debt"" ""systemic risk",-9.368,-9.836,0.0,0.0,ίδιο
q019,out_of_corpus,What do the documents say about quantum computing performance?,"quantum computing performance"" OR ""quantum supremacy"" OR ""qubit"" OR ""quantum volume",-4.442,-6.988,0.0,0.0,ίδιο
q020,out_of_corpus,Ποια είναι η τιμή του Bitcoin σύμφωνα με τα έγγραφα;,Bitcoin price OR value OR cost OR rate OR valuation OR market value OR exchange rate OR cryptocurrency market OR digital currency OR blockchain OR financial technology OR fintech OR distributed ledger technology OR DLT OR cryptocurrency trading OR crypto trading OR crypto exchange OR crypto market OR crypto price OR crypto value OR crypto cost OR crypto rate OR crypto valuation OR crypto market value OR crypto exchange rate OR crypto asset OR crypto investment OR crypto economics OR crypto finance OR crypto analytics OR crypto data OR crypto research OR crypto analysis OR crypto prediction OR crypto forecasting OR crypto modeling OR crypto simulation OR crypto algorithm OR crypto model OR crypto system OR crypto platform OR crypto network OR crypto infrastructure OR crypto architecture OR crypto design OR crypto implementation OR crypto development OR crypto engineering OR crypto science OR crypto theory OR crypto practice OR crypto application OR crypto solution OR crypto service OR crypto product OR crypto tool OR crypto technology OR crypto innovation OR crypto trend OR crypto future OR crypto outlook OR crypto perspective OR crypto view OR crypto opinion OR crypto insight OR crypto knowledge OR crypto information OR crypto data OR crypto metrics OR crypto statistics OR crypto analysis OR crypto research OR crypto study OR crypto report OR crypto paper OR crypto article OR crypto publication OR crypto journal OR crypto conference OR crypto workshop OR crypto symposium OR crypto seminar OR crypto presentation OR crypto talk OR crypto lecture OR crypto course OR crypto,-3.315,-1.219,0.0,0.0,*** ΔΙΑΡΡΟΗ ***
q048,out_of_corpus,What do the documents say about GDPR compliance requirements for cloud providers?,"GDPR compliance requirements cloud providers data residency, pseudonymization, right to be forgotten, data portability",-3.12,-2.868,0.0,0.0,ίδιο
q049,out_of_corpus,Ποια αποτελέσματα κλινικών δοκιμών αναφέρονται στα έγγραφα;,Ποια αποτελέσματα κλινικών δοκιμών αναφέρονται στα έγγραφα;,-3.397,-3.397,0.0,0.0,ίδιο
q050,out_of_corpus,What benchmark results for GPU tensor cores are reported in these papers?,"benchmark results"" GPU ""tensor cores"" ""deep learning"" ""CUDA"" ""TensorFlow"" ""PyTorch",-5.053,-3.079,0.0,0.0,ίδιο
